make,model,series,available_in_IT,display_name,slug
Acura,CL,,True,Acura CL,acura-cl
Acura,ILX,,True,Acura ILX,acura-ilx
Acura,Integra,,True,Acura Integra,acura-integra
Acura,Legend,,True,Acura Legend,acura-legend
Acura,MDX,,True,Acura MDX,acura-mdx
Acura,MDX Sport Hybrid,,True,Acura MDX Sport Hybrid,acura-mdx-sport-hybrid
Acura,NSX,,True,Acura NSX,acura-nsx
Acura,RDX,,True,Acura RDX,acura-rdx
Acura,RL,,True,Acura RL,acura-rl
Acura,RLX,,True,Acura RLX,acura-rlx
Acura,RLX Sport Hybrid,,True,Acura RLX Sport Hybrid,acura-rlx-sport-hybrid
Acura,RSX,,True,Acura RSX,acura-rsx
Acura,SLX,,True,Acura SLX,acura-slx
Acura,TL,,True,Acura TL,acura-tl
Acura,TLX,,True,Acura TLX,acura-tlx
Acura,TSX,,True,Acura TSX,acura-tsx
Acura,Vigor,,True,Acura Vigor,acura-vigor
Acura,ZDX,,True,Acura ZDX,acura-zdx
Alfa Romeo,164,,True,Alfa Romeo 164,alfa-romeo-164
Alfa Romeo,4C,,True,Alfa Romeo 4C,alfa-romeo-4c
Alfa Romeo,4C Spider,,True,Alfa Romeo 4C Spider,alfa-romeo-4c-spider
Alfa Romeo,Giulia,,True,Alfa Romeo Giulia,alfa-romeo-giulia
Alfa Romeo,Spider,,True,Alfa Romeo Spider,alfa-romeo-spider
Alfa Romeo,Stelvio,,True,Alfa Romeo Stelvio,alfa-romeo-stelvio
Alfa Romeo,Tonale,,True,Alfa Romeo Tonale,alfa-romeo-tonale
Aston Martin,DB11,,True,Aston Martin DB11,aston-martin-db11
Aston Martin,DB9,,True,Aston Martin DB9,aston-martin-db9
Aston Martin,DB9 GT,,True,Aston Martin DB9 GT,aston-martin-db9-gt
Aston Martin,DBS,,True,Aston Martin DBS,aston-martin-dbs
Aston Martin,DBS Superleggera,,True,Aston Martin DBS Superleggera,aston-martin-dbs-superleggera
Aston Martin,DBX,,True,Aston Martin DBX,aston-martin-dbx
Aston Martin,Rapide,,True,Aston Martin Rapide,aston-martin-rapide
Aston Martin,Rapide S,,True,Aston Martin Rapide S,aston-martin-rapide-s
Aston Martin,Vanquish,,True,Aston Martin Vanquish,aston-martin-vanquish
Aston Martin,Vanquish S,,True,Aston Martin Vanquish S,aston-martin-vanquish-s
Aston Martin,Vantage,,True,Aston Martin Vantage,aston-martin-vantage
Aston Martin,Virage,,True,Aston Martin Virage,aston-martin-virage
Audi,100,,True,Audi 100,audi-100
Audi,80,,True,Audi 80,audi-80
Audi,90,,True,Audi 90,audi-90
Audi,A3,,True,Audi A3,audi-a3
Audi,A3 Sportback e-tron,,True,Audi A3 Sportback e-tron,audi-a3-sportback-e-tron
Audi,A4,,True,Audi A4,audi-a4
Audi,A4 (2005.5),,True,Audi A4 (2005.5),audi-a4-(2005.5)
Audi,A4 allroad,,True,Audi A4 allroad,audi-a4-allroad-45
Audi,A5,,True,Audi A5,audi-a5
Audi,A5 Sport,,True,Audi A5 Sport,audi-a5-sport
Audi,A6,,True,Audi A6,audi-a6
Audi,A6 allroad,,True,Audi A6 allroad,audi-a6-allroad-49
Audi,A7,,True,Audi A7,audi-a7
Audi,A8,,True,Audi A8,audi-a8
Audi,Cabriolet,,True,Audi Cabriolet,audi-cabriolet
Audi,Q3,,True,Audi Q3,audi-q3
Audi,Q4 Sportback e-tron,,True,Audi Q4 Sportback e-tron,audi-q4-sportback-e-tron
Audi,Q4 e-tron,,True,Audi Q4 e-tron,audi-q4-e-tron
Audi,Q5,,True,Audi Q5,audi-q5
Audi,Q5 Sportback,,True,Audi Q5 Sportback,audi-q5-sportback
Audi,Q7,,True,Audi Q7,audi-q7
Audi,Q8,,True,Audi Q8,audi-q8
Audi,Quattro,,True,Audi Quattro,audi-quattro-60
Audi,R8,,True,Audi R8,audi-r8
Audi,RS 3,,True,Audi RS 3,audi-rs-3
Audi,RS 4,,True,Audi RS 4,audi-rs-4
Audi,RS 5,,True,Audi RS 5,audi-rs-5
Audi,RS 6,,True,Audi RS 6,audi-rs-6
Audi,RS 7,,True,Audi RS 7,audi-rs-7
Audi,RS Q8,,True,Audi RS Q8,audi-rs-q8
Audi,RS e-tron GT,,True,Audi RS e-tron GT,audi-rs-e-tron-gt
Audi,S3,,True,Audi S3,audi-s3
Audi,S4,,True,Audi S4,audi-s4
Audi,S4 (2005.5),,True,Audi S4 (2005.5),audi-s4-(2005.5)
Audi,S5,,True,Audi S5,audi-s5
Audi,S6,,True,Audi S6,audi-s6
Audi,S7,,True,Audi S7,audi-s7
Audi,S8,,True,Audi S8,audi-s8
Audi,SQ5,,True,Audi SQ5,audi-sq5
Audi,SQ5 Sportback,,True,Audi SQ5 Sportback,audi-sq5-sportback
Audi,SQ7,,True,Audi SQ7,audi-sq7
Audi,SQ8,,True,Audi SQ8,audi-sq8
Audi,TT,,True,Audi TT,audi-tt
Audi,allroad,,True,Audi allroad,audi-allroad
Audi,e-tron,,True,Audi e-tron,audi-e-tron
Audi,e-tron GT,,True,Audi e-tron GT,audi-e-tron-gt
Audi,e-tron S,,True,Audi e-tron S,audi-e-tron-s
Audi,e-tron S Sportback,,True,Audi e-tron S Sportback,audi-e-tron-s-sportback
Audi,e-tron Sportback,,True,Audi e-tron Sportback,audi-e-tron-sportback
BMW,1 Series,,True,BMW 1 Series,bmw-1-series
BMW,2 Series,,True,BMW 2 Series,bmw-2-series
BMW,3 Series,,True,BMW 3 Series,bmw-3-series
BMW,4 Series,,True,BMW 4 Series,bmw-4-series
BMW,5 Series,,True,BMW 5 Series,bmw-5-series
BMW,6 Series,,True,BMW 6 Series,bmw-6-series
BMW,7 Series,,True,BMW 7 Series,bmw-7-series
BMW,8 Series,,True,BMW 8 Series,bmw-8-series
BMW,Alpina B7,,True,BMW Alpina B7,bmw-alpina-b7
BMW,M,,True,BMW M,bmw-m
